ID,Player,Position,Age,Nationality,Club,MarketValue,ProfileURL
300,Kingsley Coman,Left Winger,28,"France, Guadeloupe",Bayern Munich,€30.00m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
301,Jonathan Tah,Centre-Back,29,"Germany, Cote d'Ivoire",Bayer 04 Leverkusen,€30.00m,https://www.transfermarkt.com/jonathan-tah/profil/spieler/196357
302,Alejandro Grimaldo,Left-Back,29,Spain,Bayer 04 Leverkusen,€30.00m,https://www.transfermarkt.com/alejandro-grimaldo/profil/spieler/193082
303,Ayyoub Bouaddi,Central Midfield,17,"France, Morocco",LOSC Lille,€28.00m,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/1097139
304,Antonio Nusa,Left Winger,20,"Norway, Nigeria",RB Leipzig,€28.00m,https://www.transfermarkt.com/antonio-nusa/profil/spieler/894914
305,Dango Ouattara,Left Winger,23,Burkina Faso,AFC Bournemouth,€28.00m,https://www.transfermarkt.com/dango-ouattara/profil/spieler/823231
306,Eliesse Ben Seghir,Left Winger,20,"Morocco, France",AS Monaco,€28.00m,https://www.transfermarkt.com/eliesse-ben-seghir/profil/spieler/810895
307,Danilo,Defensive Midfield,24,Brazil,Nottingham Forest,€28.00m,https://www.transfermarkt.com/danilo/profil/spieler/808509
308,André,Defensive Midfield,23,Brazil,Wolverhampton Wanderers,€28.00m,https://www.transfermarkt.com/andre/profil/spieler/800176
309,Simon Adingra,Left Winger,23,Cote d'Ivoire,Brighton & Hove Albion,€28.00m,https://www.transfermarkt.com/simon-adingra/profil/spieler/658536
310,Bilal El Khannouss,Attacking Midfield,21,"Morocco, Belgium",Leicester City,€28.00m,https://www.transfermarkt.com/bilal-el-khannouss/profil/spieler/654982
311,Mario Gila,Centre-Back,24,Spain,SS Lazio,€28.00m,https://www.transfermarkt.com/mario-gila/profil/spieler/618341
312,Toti,Centre-Back,26,"Portugal, Guinea-Bissau",Wolverhampton Wanderers,€28.00m,https://www.transfermarkt.com/toti/profil/spieler/606718
313,Mikkel Damsgaard,Attacking Midfield,24,Denmark,Brentford FC,€28.00m,https://www.transfermarkt.com/mikkel-damsgaard/profil/spieler/540941
314,Anatoliy Trubin,Goalkeeper,23,Ukraine,SL Benfica,€28.00m,https://www.transfermarkt.com/anatoliy-trubin/profil/spieler/537844
315,Nicolò Rovella,Defensive Midfield,23,Italy,SS Lazio,€28.00m,https://www.transfermarkt.com/nicolo-rovella/profil/spieler/525704
316,Nico González,Right Winger,27,"Argentina, Italy",Juventus FC,€28.00m,https://www.transfermarkt.com/nico-gonzalez/profil/spieler/486031
317,Ian Maatsen,Left-Back,23,"Netherlands, Suriname",Aston Villa,€28.00m,https://www.transfermarkt.com/ian-maatsen/profil/spieler/485585
318,Kenneth Taylor,Central Midfield,23,Netherlands,Ajax Amsterdam,€28.00m,https://www.transfermarkt.com/kenneth-taylor/profil/spieler/470394
319,Nathan Collins,Centre-Back,24,Ireland,Brentford FC,€28.00m,https://www.transfermarkt.com/nathan-collins/profil/spieler/469050
320,Bafodé Diakité,Centre-Back,24,"France, Guinea",LOSC Lille,€28.00m,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605
321,Lucas Paquetá,Attacking Midfield,27,"Brazil, Portugal",West Ham United,€28.00m,https://www.transfermarkt.com/lucas-paqueta/profil/spieler/444523
322,Jakub Kiwior,Centre-Back,25,Poland,Arsenal FC,€28.00m,https://www.transfermarkt.com/jakub-kiwior/profil/spieler/425918
323,Felix Nmecha,Central Midfield,24,"Germany, England",Borussia Dortmund,€28.00m,https://www.transfermarkt.com/felix-nmecha/profil/spieler/406640
324,Vitaliy Mykolenko,Left-Back,26,Ukraine,Everton FC,€28.00m,https://www.transfermarkt.com/vitaliy-mykolenko/profil/spieler/404842
325,Jadon Sancho,Left Winger,25,"England, Jamaica",Chelsea FC,€28.00m,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173
326,Ferran Torres,Centre-Forward,25,Spain,FC Barcelona,€28.00m,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184
327,Leon Bailey,Right Winger,27,Jamaica,Aston Villa,€28.00m,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626
328,Mason Mount,Attacking Midfield,26,England,Manchester United,€28.00m,https://www.transfermarkt.com/mason-mount/profil/spieler/346483
329,Denzel Dumfries,Right-Back,29,"Netherlands, Aruba",Inter Milan,€28.00m,https://www.transfermarkt.com/denzel-dumfries/profil/spieler/321528
330,Brais Méndez,Attacking Midfield,28,Spain,Real Sociedad,€28.00m,https://www.transfermarkt.com/brais-mendez/profil/spieler/309110
331,Manuel Akanji,Centre-Back,29,"Switzerland, Nigeria",Manchester City,€28.00m,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730
332,Marcos Llorente,Right Midfield,30,Spain,Atlético de Madrid,€28.00m,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411
333,Manuel Locatelli,Defensive Midfield,27,Italy,Juventus FC,€28.00m,https://www.transfermarkt.com/manuel-locatelli/profil/spieler/265088
334,Unai Simón,Goalkeeper,27,Spain,Athletic Bilbao,€28.00m,https://www.transfermarkt.com/unai-simon/profil/spieler/262396
335,Alex Iwobi,Attacking Midfield,29,"Nigeria, England",Fulham FC,€28.00m,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
336,Jack Grealish,Left Winger,29,"England, Ireland",Manchester City,€28.00m,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460
337,Joel Ordóñez,Centre-Back,21,Ecuador,Club Brugge KV,€27.00m,https://www.transfermarkt.com/joel-ordonez/profil/spieler/893661
338,Ismael Saibari,Central Midfield,24,"Morocco, Belgium",PSV Eindhoven,€27.00m,https://www.transfermarkt.com/ismael-saibari/profil/spieler/702869
339,Frank Anguissa,Central Midfield,29,Cameroon,SSC Napoli,€27.00m,https://www.transfermarkt.com/frank-anguissa/profil/spieler/354361
340,Joachim Andersen,Centre-Back,29,Denmark,Fulham FC,€27.00m,https://www.transfermarkt.com/joachim-andersen/profil/spieler/260827
341,Patrik Schick,Centre-Forward,29,Czech Republic,Bayer 04 Leverkusen,€27.00m,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086
342,Pierre Kalulu,Centre-Back,25,"France, DR Congo",Juventus FC,€26.00m,https://www.transfermarkt.com/pierre-kalulu/profil/spieler/585949
343,Assane Diao,Right Winger,19,"Senegal, Spain",Como 1907,€25.00m,https://www.transfermarkt.com/assane-diao/profil/spieler/1061282
344,Francesco Pio Esposito,Centre-Forward,19,Italy,Spezia Calcio,€25.00m,https://www.transfermarkt.com/francesco-pio-esposito/profil/spieler/930781
345,Patrick Dorgu,Left Midfield,20,"Denmark, Nigeria",Manchester United,€25.00m,https://www.transfermarkt.com/patrick-dorgu/profil/spieler/926952
346,Lucas Beraldo,Centre-Back,21,Brazil,Paris Saint-Germain,€25.00m,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171
347,Tyler Dibling,Right Winger,19,England,Southampton FC,€25.00m,https://www.transfermarkt.com/tyler-dibling/profil/spieler/866655
348,Luiz Henrique,Right Winger,24,Brazil,Zenit St. Petersburg,€25.00m,https://www.transfermarkt.com/luiz-henrique/profil/spieler/800175
349,Pietro Comuzzo,Centre-Back,20,Italy,ACF Fiorentina,€25.00m,https://www.transfermarkt.com/pietro-comuzzo/profil/spieler/746712
350,Giuliano Simeone,Right Winger,22,"Argentina, Italy",Atlético de Madrid,€25.00m,https://www.transfermarkt.com/giuliano-simeone/profil/spieler/742201
351,Alberto Moleiro,Left Winger,21,"Spain, Cuba",UD Las Palmas,€25.00m,https://www.transfermarkt.com/alberto-moleiro/profil/spieler/733576
352,Tyrick Mitchell,Left-Back,25,"England, Jamaica",Crystal Palace,€25.00m,https://www.transfermarkt.com/tyrick-mitchell/profil/spieler/730893
353,Brajan Gruda,Right Winger,21,"Germany, Albania",Brighton & Hove Albion,€25.00m,https://www.transfermarkt.com/brajan-gruda/profil/spieler/700106
354,Samuel Lino,Left Winger,25,Brazil,Atlético de Madrid,€25.00m,https://www.transfermarkt.com/samuel-lino/profil/spieler/694928
355,Luis Henrique,Right Winger,23,Brazil,Olympique Marseille,€25.00m,https://www.transfermarkt.com/luis-henrique/profil/spieler/691316
356,Konstantinos Koulierakis,Centre-Back,21,Greece,VfL Wolfsburg,€25.00m,https://www.transfermarkt.com/konstantinos-koulierakis/profil/spieler/669380
357,Oscar Bobb,Right Winger,21,"Norway, The Gambia",Manchester City,€25.00m,https://www.transfermarkt.com/oscar-bobb/profil/spieler/661207
358,Wilfried Singo,Centre-Back,24,Cote d'Ivoire,AS Monaco,€25.00m,https://www.transfermarkt.com/wilfried-singo/profil/spieler/648779
359,Evan Ferguson,Centre-Forward,20,"Ireland, England",West Ham United,€25.00m,https://www.transfermarkt.com/evan-ferguson/profil/spieler/648046
360,Odilon Kossounou,Centre-Back,24,Cote d'Ivoire,Atalanta BC,€25.00m,https://www.transfermarkt.com/odilon-kossounou/profil/spieler/644771
361,Ardon Jashari,Defensive Midfield,22,"Switzerland, North Macedonia",Club Brugge KV,€25.00m,https://www.transfermarkt.com/ardon-jashari/profil/spieler/608172
362,Jean-Clair Todibo,Centre-Back,25,"France, French Guiana",West Ham United,€25.00m,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184
363,Dwight McNeil,Left Winger,25,"England, Jamaica",Everton FC,€25.00m,https://www.transfermarkt.com/dwight-mcneil/profil/spieler/584769
364,Maximilian Beier,Centre-Forward,22,Germany,Borussia Dortmund,€25.00m,https://www.transfermarkt.com/maximilian-beier/profil/spieler/578392
365,Thiago Almada,Attacking Midfield,24,Argentina,Olympique Lyon,€25.00m,https://www.transfermarkt.com/thiago-almada/profil/spieler/576028
366,Radu Drăgușin,Centre-Back,23,Romania,Tottenham Hotspur,€25.00m,https://www.transfermarkt.com/radu-dragusin/profil/spieler/568559
367,Emanuel Emegha,Centre-Forward,22,"Netherlands, Nigeria",RC Strasbourg Alsace,€25.00m,https://www.transfermarkt.com/emanuel-emegha/profil/spieler/559328
368,Kang-in Lee,Right Winger,24,"Korea, South",Paris Saint-Germain,€25.00m,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149
369,Cheick Doucouré,Defensive Midfield,25,Mali,Crystal Palace,€25.00m,https://www.transfermarkt.com/cheick-doucoure/profil/spieler/543387
370,Dilane Bakwa,Right Winger,22,"France, DR Congo",RC Strasbourg Alsace,€25.00m,https://www.transfermarkt.com/dilane-bakwa/profil/spieler/540664
371,Nuno Tavares,Left-Back,25,"Portugal, Cape Verde",SS Lazio,€25.00m,https://www.transfermarkt.com/nuno-tavares/profil/spieler/535955
372,Miguel Gutiérrez,Left-Back,23,Spain,Girona FC,€25.00m,https://www.transfermarkt.com/miguel-gutierrez/profil/spieler/525299
373,Maximilian Kilman,Centre-Back,28,"England, Ukraine",West Ham United,€25.00m,https://www.transfermarkt.com/maximilian-kilman/profil/spieler/525247
374,Taty Castellanos,Centre-Forward,26,Argentina,SS Lazio,€25.00m,https://www.transfermarkt.com/taty-castellanos/profil/spieler/522784
375,Eduard Spertsyan,Attacking Midfield,25,"Armenia, Russia",FC Krasnodar,€25.00m,https://www.transfermarkt.com/eduard-spertsyan/profil/spieler/515744
376,Federico Gatti,Centre-Back,26,Italy,Juventus FC,€25.00m,https://www.transfermarkt.com/federico-gatti/profil/spieler/509022
377,Evann Guessand,Centre-Forward,23,"Cote d'Ivoire, France",OGC Nice,€25.00m,https://www.transfermarkt.com/evann-guessand/profil/spieler/500689
378,Edon Zhegrova,Right Winger,26,"Kosovo, Germany",LOSC Lille,€25.00m,https://www.transfermarkt.com/edon-zhegrova/profil/spieler/496857
379,Daniel Muñoz,Right-Back,29,Colombia,Crystal Palace,€25.00m,https://www.transfermarkt.com/daniel-munoz/profil/spieler/493003
380,Wesley Fofana,Centre-Back,24,"France, Cote d'Ivoire",Chelsea FC,€25.00m,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411
381,Facundo Medina,Centre-Back,26,Argentina,RC Lens,€25.00m,https://www.transfermarkt.com/facundo-medina/profil/spieler/474800
382,João Félix,Second Striker,25,Portugal,AC Milan,€25.00m,https://www.transfermarkt.com/joao-felix/profil/spieler/462250
383,Calvin Bassey,Centre-Back,25,"Nigeria, England",Fulham FC,€25.00m,https://www.transfermarkt.com/calvin-bassey/profil/spieler/461883
384,Marco Carnesecchi,Goalkeeper,24,Italy,Atalanta BC,€25.00m,https://www.transfermarkt.com/marco-carnesecchi/profil/spieler/459763
385,Maxence Lacroix,Centre-Back,25,"France, Guadeloupe",Crystal Palace,€25.00m,https://www.transfermarkt.com/maxence-lacroix/profil/spieler/434224
386,Sam Beukema,Centre-Back,26,Netherlands,Bologna FC 1909,€25.00m,https://www.transfermarkt.com/sam-beukema/profil/spieler/433984
387,Matty Cash,Right-Back,27,"Poland, England",Aston Villa,€25.00m,https://www.transfermarkt.com/matty-cash/profil/spieler/425334
388,Nahuel Molina,Right-Back,27,Argentina,Atlético de Madrid,€25.00m,https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042
389,Mats Wieffer,Defensive Midfield,25,Netherlands,Brighton & Hove Albion,€25.00m,https://www.transfermarkt.com/mats-wieffer/profil/spieler/415381
390,Yves Bissouma,Defensive Midfield,28,"Mali, Cote d'Ivoire",Tottenham Hotspur,€25.00m,https://www.transfermarkt.com/yves-bissouma/profil/spieler/410425
391,Ismaïla Sarr,Attacking Midfield,27,Senegal,Crystal Palace,€25.00m,https://www.transfermarkt.com/ismaila-sarr/profil/spieler/410225
392,Joey Veerman,Central Midfield,26,Netherlands,PSV Eindhoven,€25.00m,https://www.transfermarkt.com/joey-veerman/profil/spieler/408574
393,Edson Álvarez,Defensive Midfield,27,Mexico,West Ham United,€25.00m,https://www.transfermarkt.com/edson-alvarez/profil/spieler/401356
394,Callum Hudson-Odoi,Left Winger,24,"England, Ghana",Nottingham Forest,€25.00m,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768
395,Evan Ndicka,Centre-Back,25,"Cote d'Ivoire, France",AS Roma,€25.00m,https://www.transfermarkt.com/evan-ndicka/profil/spieler/371149
396,Ferdi Kadıoğlu,Left-Back,25,"Türkiye, Netherlands",Brighton & Hove Albion,€25.00m,https://www.transfermarkt.com/ferdi-kadioglu/profil/spieler/369316
397,Dan Ndoye,Right Winger,24,"Switzerland, Senegal",Bologna FC 1909,€25.00m,https://www.transfermarkt.com/dan-ndoye/profil/spieler/365108
398,Nayef Aguerd,Centre-Back,29,Morocco,Real Sociedad,€25.00m,https://www.transfermarkt.com/nayef-aguerd/profil/spieler/361914
399,Ritsu Doan,Right Winger,26,Japan,SC Freiburg,€25.00m,https://www.transfermarkt.com/ritsu-doan/profil/spieler/358504
400,Hiroki Ito,Centre-Back,26,Japan,Bayern Munich,€25.00m,https://www.transfermarkt.com/hiroki-ito/profil/spieler/353892
401,Trevoh Chalobah,Centre-Back,25,"England, Sierra Leone",Chelsea FC,€25.00m,https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314
402,Gerson,Central Midfield,28,Brazil,CR Flamengo,€25.00m,https://www.transfermarkt.com/gerson/profil/spieler/341705
403,Noussair Mazraoui,Right-Back,27,"Morocco, Netherlands",Manchester United,€25.00m,https://www.transfermarkt.com/noussair-mazraoui/profil/spieler/340456
404,Noa Lang,Left Winger,25,"Netherlands, Suriname",PSV Eindhoven,€25.00m,https://www.transfermarkt.com/noa-lang/profil/spieler/339332
405,Sander Berge,Defensive Midfield,27,Norway,Fulham FC,€25.00m,https://www.transfermarkt.com/sander-berge/profil/spieler/333014
406,Donyell Malen,Right Winger,26,"Netherlands, Suriname",Aston Villa,€25.00m,https://www.transfermarkt.com/donyell-malen/profil/spieler/326029
407,Dodi Lukébakio,Right Winger,27,"Belgium, DR Congo",Sevilla FC,€25.00m,https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259
408,Lucas Hernández,Left-Back,29,"France, Spain",Paris Saint-Germain,€25.00m,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963
409,Kevin Danso,Centre-Back,26,Austria,Tottenham Hotspur,€25.00m,https://www.transfermarkt.com/kevin-danso/profil/spieler/263236
410,Rodrigo De Paul,Central Midfield,31,"Argentina, Italy",Atlético de Madrid,€25.00m,https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901
411,Ivan Toney,Centre-Forward,29,"England, Jamaica",Al-Ahli SFC,€25.00m,https://www.transfermarkt.com/ivan-toney/profil/spieler/251664
412,Alexander Sørloth,Centre-Forward,29,Norway,Atlético de Madrid,€25.00m,https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407
413,André Onana,Goalkeeper,29,Cameroon,Manchester United,€25.00m,https://www.transfermarkt.com/andre-onana/profil/spieler/234509
414,Rúben Neves,Defensive Midfield,28,Portugal,Al-Hilal SFC,€25.00m,https://www.transfermarkt.com/ruben-neves/profil/spieler/225161
415,Konrad Laimer,Right-Back,28,Austria,Bayern Munich,€25.00m,https://www.transfermarkt.com/konrad-laimer/profil/spieler/223967
416,Álex Remiro,Goalkeeper,30,Spain,Real Sociedad,€25.00m,https://www.transfermarkt.com/alex-remiro/profil/spieler/212862
417,Stanislav Lobotka,Defensive Midfield,30,Slovakia,SSC Napoli,€25.00m,https://www.transfermarkt.com/stanislav-lobotka/profil/spieler/192735
418,Julian Brandt,Attacking Midfield,29,Germany,Borussia Dortmund,€25.00m,https://www.transfermarkt.com/julian-brandt/profil/spieler/187492
419,John Stones,Centre-Back,31,England,Manchester City,€25.00m,https://www.transfermarkt.com/john-stones/profil/spieler/186590
420,Adrien Rabiot,Central Midfield,30,France,Olympique Marseille,€25.00m,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913
421,Mike Maignan,Goalkeeper,29,"France, French Guiana",AC Milan,€25.00m,https://www.transfermarkt.com/mike-maignan/profil/spieler/182906
422,Nathan Aké,Centre-Back,30,"Netherlands, Cote d'Ivoire",Manchester City,€25.00m,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476
423,Jan Oblak,Goalkeeper,32,Slovenia,Atlético de Madrid,€25.00m,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483
424,Thibaut Courtois,Goalkeeper,33,Belgium,Real Madrid,€25.00m,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390
425,Jack Hinshelwood,Central Midfield,20,England,Brighton & Hove Albion,€24.00m,https://www.transfermarkt.com/jack-hinshelwood/profil/spieler/867688
426,Conrad Harder,Centre-Forward,20,Denmark,Sporting CP,€24.00m,https://www.transfermarkt.com/conrad-harder/profil/spieler/807386
427,Paul Nebel,Attacking Midfield,22,"Germany, Ireland",1.FSV Mainz 05,€24.00m,https://www.transfermarkt.com/paul-nebel/profil/spieler/503160
428,Aaron Wan-Bissaka,Right-Back,27,"DR Congo, England",West Ham United,€24.00m,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
429,Galeno,Left Winger,27,"Brazil, Portugal",Al-Ahli SFC,€24.00m,https://www.transfermarkt.com/galeno/profil/spieler/454121
430,Youssef En-Nesyri,Centre-Forward,28,Morocco,Fenerbahce,€24.00m,https://www.transfermarkt.com/youssef-en-nesyri/profil/spieler/433049
431,Lewis Ferguson,Central Midfield,25,Scotland,Bologna FC 1909,€24.00m,https://www.transfermarkt.com/lewis-ferguson/profil/spieler/428563
432,Kerem Aktürkoğlu,Left Winger,26,Türkiye,SL Benfica,€24.00m,https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/382528
433,Ibrahim Sangaré,Defensive Midfield,27,Cote d'Ivoire,Nottingham Forest,€24.00m,https://www.transfermarkt.com/ibrahim-sangare/profil/spieler/375885
434,Josip Sutalo,Centre-Back,25,Croatia,Ajax Amsterdam,€24.00m,https://www.transfermarkt.com/josip-sutalo/profil/spieler/371001
435,Arthur Theate,Centre-Back,25,Belgium,Eintracht Frankfurt,€24.00m,https://www.transfermarkt.com/arthur-theate/profil/spieler/368891
436,Weston McKennie,Central Midfield,26,United States,Juventus FC,€24.00m,https://www.transfermarkt.com/weston-mckennie/profil/spieler/332697
437,Gianluca Scamacca,Centre-Forward,26,Italy,Atalanta BC,€24.00m,https://www.transfermarkt.com/gianluca-scamacca/profil/spieler/315867
438,Antonio Rüdiger,Centre-Back,32,"Germany, Sierra Leone",Real Madrid,€24.00m,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202
439,Mohamed Simakan,Centre-Back,25,"France, Guinea",Al-Nassr FC,€23.00m,https://www.transfermarkt.com/mohamed-simakan/profil/spieler/666234
440,Keane Lewis-Potter,Left-Back,24,England,Brentford FC,€23.00m,https://www.transfermarkt.com/keane-lewis-potter/profil/spieler/644401
441,Albert Gudmundsson,Second Striker,27,Iceland,ACF Fiorentina,€23.00m,https://www.transfermarkt.com/albert-gudmundsson/profil/spieler/305947
442,Virgil van Dijk,Centre-Back,33,"Netherlands, Suriname",Liverpool FC,€23.00m,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208
443,Stefanos Tzimas,Centre-Forward,19,Greece,1.FC Nuremberg,€22.00m,https://www.transfermarkt.com/stefanos-tzimas/profil/spieler/950091
444,Arthur Vermeeren,Defensive Midfield,20,Belgium,RB Leipzig,€22.00m,https://www.transfermarkt.com/arthur-vermeeren/profil/spieler/926694
445,Lewis Miley,Central Midfield,19,England,Newcastle United,€22.00m,https://www.transfermarkt.com/lewis-miley/profil/spieler/922769
446,Lamine Camara,Central Midfield,21,Senegal,AS Monaco,€22.00m,https://www.transfermarkt.com/lamine-camara/profil/spieler/918969
447,Roger,Right Winger,19,"Portugal, Guinea-Bissau",SC Braga,€22.00m,https://www.transfermarkt.com/roger/profil/spieler/906329
448,Jobe Bellingham,Central Midfield,19,"England, Ireland",Sunderland AFC,€22.00m,https://www.transfermarkt.com/jobe-bellingham/profil/spieler/796297
449,Omari Hutchinson,Attacking Midfield,21,"England, Jamaica",Ipswich Town,€22.00m,https://www.transfermarkt.com/omari-hutchinson/profil/spieler/741238
450,Georges Mikautadze,Centre-Forward,24,"Georgia, France",Olympique Lyon,€22.00m,https://www.transfermarkt.com/georges-mikautadze/profil/spieler/729814
451,Nathaniel Brown,Left-Back,21,"Germany, United States",Eintracht Frankfurt,€22.00m,https://www.transfermarkt.com/nathaniel-brown/profil/spieler/691892
452,Matías Soulé,Right Winger,22,"Argentina, Italy",AS Roma,€22.00m,https://www.transfermarkt.com/matias-soule/profil/spieler/668951
453,Yasin Ayari,Central Midfield,21,"Sweden, Tunisia",Brighton & Hove Albion,€22.00m,https://www.transfermarkt.com/yasin-ayari/profil/spieler/667287
454,Julio Enciso,Attacking Midfield,21,Paraguay,Ipswich Town,€22.00m,https://www.transfermarkt.com/julio-enciso/profil/spieler/660867
455,Elye Wahi,Centre-Forward,22,"France, Cote d'Ivoire",Eintracht Frankfurt,€22.00m,https://www.transfermarkt.com/elye-wahi/profil/spieler/659542
456,Wilfried Gnonto,Right Winger,21,"Italy, Cote d'Ivoire",Leeds United,€22.00m,https://www.transfermarkt.com/wilfried-gnonto/profil/spieler/627626
457,Iliman Ndiaye,Left Winger,25,"Senegal, France",Everton FC,€22.00m,https://www.transfermarkt.com/iliman-ndiaye/profil/spieler/623570
458,Leif Davis,Left-Back,25,England,Ipswich Town,€22.00m,https://www.transfermarkt.com/leif-davis/profil/spieler/596446
459,Beto,Centre-Forward,27,"Guinea-Bissau, Portugal",Everton FC,€22.00m,https://www.transfermarkt.com/beto/profil/spieler/595809
460,Aitor Paredes,Centre-Back,25,Spain,Athletic Bilbao,€22.00m,https://www.transfermarkt.com/aitor-paredes/profil/spieler/591916
461,Carlos Augusto,Left-Back,26,"Brazil, Italy",Inter Milan,€22.00m,https://www.transfermarkt.com/carlos-augusto/profil/spieler/585982
462,Arnaud Kalimuendo,Centre-Forward,23,"France, DR Congo",Stade Rennais FC,€22.00m,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959
463,Martin Baturina,Attacking Midfield,22,Croatia,GNK Dinamo Zagreb,€22.00m,https://www.transfermarkt.com/martin-baturina/profil/spieler/580451
464,Lorenzo Lucca,Centre-Forward,24,Italy,Udinese Calcio,€22.00m,https://www.transfermarkt.com/lorenzo-lucca/profil/spieler/572265
465,Chrislain Matsima,Centre-Back,23,"France, Congo",FC Augsburg,€22.00m,https://www.transfermarkt.com/chrislain-matsima/profil/spieler/569383
466,James Trafford,Goalkeeper,22,England,Burnley FC,€22.00m,https://www.transfermarkt.com/james-trafford/profil/spieler/566799
467,Gabriel Sara,Central Midfield,25,Brazil,Galatasaray,€22.00m,https://www.transfermarkt.com/gabriel-sara/profil/spieler/553469
468,Sepp van den Berg,Centre-Back,23,Netherlands,Brentford FC,€22.00m,https://www.transfermarkt.com/sepp-van-den-berg/profil/spieler/541231
469,Fábio Vieira,Attacking Midfield,25,Portugal,FC Porto,€22.00m,https://www.transfermarkt.com/fabio-vieira/profil/spieler/537598
470,Pepê,Right Winger,28,"Brazil, Italy",FC Porto,€22.00m,https://www.transfermarkt.com/pepe/profil/spieler/520662
471,Yunus Musah,Central Midfield,22,"United States, England",AC Milan,€22.00m,https://www.transfermarkt.com/yunus-musah/profil/spieler/503991
472,Taylor Harwood-Bellis,Centre-Back,23,England,Southampton FC,€22.00m,https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977
473,Yuri Alberto,Centre-Forward,24,Brazil,Sport Club Corinthians Paulista,€22.00m,https://www.transfermarkt.com/yuri-alberto/profil/spieler/489893
474,Crysencio Summerville,Left Winger,23,"Netherlands, Suriname",West Ham United,€22.00m,https://www.transfermarkt.com/crysencio-summerville/profil/spieler/474701
475,Brian Brobbey,Centre-Forward,23,"Netherlands, Ghana",Ajax Amsterdam,€22.00m,https://www.transfermarkt.com/brian-brobbey/profil/spieler/473169
476,Marcos Senesi,Centre-Back,28,"Argentina, Italy",AFC Bournemouth,€22.00m,https://www.transfermarkt.com/marcos-senesi/profil/spieler/469781
477,Benoît Badiashile,Centre-Back,24,"France, DR Congo",Chelsea FC,€22.00m,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603
478,Pedro,Centre-Forward,27,Brazil,CR Flamengo,€22.00m,https://www.transfermarkt.com/pedro/profil/spieler/432895
479,Matt O'Riley,Central Midfield,24,"Denmark, England",Brighton & Hove Albion,€22.00m,https://www.transfermarkt.com/matt-oriley/profil/spieler/406634
480,Dodô,Right-Back,26,Brazil,ACF Fiorentina,€22.00m,https://www.transfermarkt.com/dodo/profil/spieler/401529
481,Axel Disasi,Right-Back,27,"France, DR Congo",Aston Villa,€22.00m,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047
482,Raoul Bellanova,Right Midfield,25,Italy,Atalanta BC,€22.00m,https://www.transfermarkt.com/raoul-bellanova/profil/spieler/357992
483,Florentino,Defensive Midfield,25,"Portugal, Angola",SL Benfica,€22.00m,https://www.transfermarkt.com/florentino/profil/spieler/357162
484,Jerdy Schouten,Defensive Midfield,28,Netherlands,PSV Eindhoven,€22.00m,https://www.transfermarkt.com/jerdy-schouten/profil/spieler/347900
485,Joe Willock,Central Midfield,25,"England, Montserrat",Newcastle United,€22.00m,https://www.transfermarkt.com/joe-willock/profil/spieler/340329
486,Ermedin Demirovic,Centre-Forward,27,Bosnia-Herzegovina,VfB Stuttgart,€22.00m,https://www.transfermarkt.com/ermedin-demirovic/profil/spieler/335457
487,Malcom,Attacking Midfield,28,"Brazil, Russia",Al-Hilal SFC,€22.00m,https://www.transfermarkt.com/malcom/profil/spieler/323704
488,Viktor Tsygankov,Right Winger,27,Ukraine,Girona FC,€22.00m,https://www.transfermarkt.com/viktor-tsygankov/profil/spieler/264372
